ano_mes_dia,hor_min_seg,Lat.,Lng.,e,f,g,h
20230218,00:21:03.5907502,-21.1041,-46.5167,0.0,1,-9.7,0.177
20230218,00:21:34.9905355,-21.1881,-46.6122,0.0,1,-13.4,0.397
20230218,00:21:47.4119885,-20.7561,-46.1889,0.0,1,11.8,1.36
20230218,00:21:47.5272277,-20.5998,-46.2377,0.0,1,-14.0,1.105
20230218,00:21:47.5285205,-20.6334,-46.2497,0.0,1,-11.0,1.851
20230218,00:21:58.1010850,-21.5653,-46.2743,0.0,1,-8.2,0.308
20230218,00:22:54.3720979,-20.7333,-46.0635,0.0,1,8.4,0.167
20230218,00:23:10.7208985,-20.8837,-46.1437,0.0,1,-73.6,1.27
20230218,00:23:10.7589369,-20.8799,-46.157,0.0,1,-18.5,0.574
20230218,00:23:43.4201309,-20.8323,-46.6222,0.0,1,9.7,0.164
20230218,00:23:43.5668356,-20.8298,-46.5924,6.6,2,9.5,0.181
20230218,00:24:26.4821643,-22.9137,-45.18,8.3,2,8.0,0.259
20230218,00:24:26.9666436,-20.3128,-45.8837,8.3,2,17.1,0.209
20230218,00:24:26.9691300,-20.3061,-45.8868,0.0,1,10.7,0.449
20230218,00:24:36.8296852,-21.122,-46.4849,0.0,1,-8.8,0.226
20230218,00:24:38.6421953,-21.4255,-46.3613,0.0,1,9.1,0.144
20230218,00:24:43.7578345,-20.7641,-46.1147,6.1,2,20.4,0.031
20230218,00:24:49.0432056,-20.514,-45.3673,0.0,1,17.1,1.316
20230218,00:24:58.1730765,-20.3721,-45.7518,0.0,1,22.2,1.35
20230218,00:24:58.1867720,-20.3613,-45.7453,0.0,1,-12.8,1.5
20230218,00:24:58.2267769,-20.3657,-45.7481,0.0,1,-12.2,0.727
20230218,00:24:58.3420650,-20.3578,-45.741,0.0,1,-21.4,1.697
20230218,00:24:58.7071695,-21.5643,-46.2975,0.0,1,-21.7,0.247
20230218,00:24:58.7650574,-21.5586,-46.2776,0.0,1,-20.0,0.381
20230218,00:24:58.7926647,-21.5577,-46.2912,0.0,1,-10.0,0.339
20230218,00:24:58.8670213,-21.5558,-46.2916,0.0,1,-44.0,0.392
20230218,00:24:58.9651512,-21.5568,-46.2916,0.0,1,-24.1,0.351
20230218,00:25:55.7293270,-20.3561,-45.734,0.0,1,-15.8,1.188
